gid,startdistrictid,enddistrictid
39787,23,23
40712,23,23
201836,,
60663,24,27
74434,16,3
175186,23,23
175958,4,7
220922,,
226337,5,24
40483,5,4
229973,5,24
40671,18,18
204482,16,27
233780,24,24
107284,,
187651,27,
254350,,
236116,,
81854,20,33
95896,4,24
107651,4,4
109058,,
113231,27,5
121663,11,16
126751,8,8
95395,,
126979,11,11
96635,24,24
96812,1,5
129143,22,22
131376,4,4
131042,,
137218,24,27
137153,,
146842,22,4
148176,23,4
153584,4,5
186551,20,31
199164,24,24
209438,,31
269323,,
210544,27,22
199171,24,24
215371,5,5
219833,5,22
224468,7,
224735,3,25
257554,4,5
257951,24,27
199350,25,16
207140,7,7
273731,18,27
274376,4,5
273195,,
277152,9,9
285261,30,
285716,4,4
285193,,
2992,4,
2988,,
201973,4,4
232466,,
14398,4,23
17877,,
284596,,
31807,23,4
33470,4,4
259827,23,
285620,,
261075,4,5
137942,7,7
42466,7,5
187185,,
57477,5,5
80321,33,33
100418,4,
104555,4,4
110474,,
34224,4,4
111523,22,22
111595,22,22
114275,33,33
60304,,25
6435,22,22
116231,20,20
8344,24,7
8366,,
20060,9,9
36959,5,4
32354,7,2
105845,5,5
232634,5,5
232935,7,
58712,4,4
238259,10,10
241301,16,24
198718,33,33
79286,4,4
78641,5,16
35957,7,23
116479,33,4
109801,18,18
117308,,
113608,4,28
123037,4,4
206148,4,4
128912,18,30
134995,,
129453,7,33
134250,24,24
266640,,
134157,5,5
135733,33,33
134436,25,25
137123,24,27
137164,16,5
59672,,
136637,24,24
136239,,
264847,,
144372,23,23
144233,,
149539,22,22
146823,22,4
146195,33,33
148272,24,5
280342,,
214532,,
163569,,
178537,5,5
78952,18,22
181371,16,16
186674,24,24
194729,22,22
167076,,
200099,24,24
191928,23,23
200678,4,4
201732,24,4
252928,,
203754,4,5
204402,4,4
134042,,
208687,1,5
208782,7,4
37903,,
258013,27,27
209742,7,23
211358,23,23
216967,2,2
216873,24,24
223985,5,5
224373,28,4
252776,4,23
85256,27,27
254422,7,4
255538,,
177272,7,2
36853,,
230664,24,24
257927,22,25
231476,24,23
231569,,
272802,22,
106505,,
243148,33,33
243127,7,33
278405,14,25
249008,8,8
193761,5,24
15082,7,4
129209,24,24
3982,25,24
285200,,
160431,,
269070,,
5079,27,27
17318,8,29
15587,4,4
18646,12,12
18832,24,24
19665,4,5
22305,24,4
90337,,
195038,4,4
10747,24,4
195215,27,27
31588,18,18
97179,,
254533,4,4
47575,7,7
129379,,
66177,30,22
130786,,
192848,5,5
208836,25,16
162494,,
67006,4,23
202107,5,5
231355,4,24
105302,,
106314,,
233316,5,24
238569,23,3
204269,7,7
92907,27,27
93747,22,24
257793,4,
58286,8,8
85924,22,22
293110,,
89816,7,7
114337,23,23
116269,24,
92058,23,4
196213,8,
117706,5,22
267187,,
95546,25,16
120957,22,24
113810,23,23
189137,,
123481,5,5
99757,22,24
123862,27,1
103099,4,5
103824,20,
104910,4,4
121604,,
119191,,
275649,,
128662,33,
125870,,
145817,7,4
233420,,
146761,31,13
150362,25,25
153104,4,28
178761,4,4
165146,8,
168434,27,4
193631,,
169318,24,4
171684,25,
179070,5,24
182438,,
3428,25,22
179365,23,17
193818,22,4
183704,5,5
20832,,
182997,,
184619,4,5
191378,16,16
208673,,
191652,7,
186765,17,17
243454,,
186657,18,27
195482,25,25
4885,,
189837,23,23
194681,1,23
202594,16,16
193854,24,27
195999,,
251041,16,11
226741,27,24
226719,,
171129,,
263899,5,7
266360,5,4
267149,22,8
270492,5,5
271010,11,
271322,24,24
271354,7,7
278799,33,2
256070,20,20
66546,,25
10538,24,24
285868,,
117023,,
10848,,
12669,7,7
282526,24,24
212330,22,22
200129,5,4
206327,4,4
49935,31,14
67104,2,2
48656,22,24
51575,,
40209,23,23
57181,7,7
56639,5,4
58152,1,1
243387,,
275149,,
49582,16,16
49998,5,5
51605,23,23
99820,,
74276,22,22
56714,,
290206,,
82591,18,18
113851,,
150322,4,7
88186,25,25
101556,23,4
206445,33,33
115043,5,4
75008,,
76395,33,33
227225,22,22
260611,,
283715,,
133681,4,4
228976,4,28
78865,5,5
229039,4,4
112238,,
230250,24,3
89319,,
234166,5,5
196280,27,27
244915,5,24
19404,33,
20228,11,11
21800,8,
229790,,
213290,16,16
23373,7,25
101624,24,27
102834,4,
24833,26,34
27432,22,22
105431,11,11
28125,7,5
32274,,
28493,22,22
102035,,
107599,16,16
24226,,
111381,24,24
89044,,
112063,22,22
260075,,
80320,,
21,24,24
110,4,4
40752,4,4
127014,16,
85772,,
270512,16,16
968,,
271426,11,11
